SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Number
SGL,EQ,7.4,7.4,6.95,7.05,7.05,6.95,6790,48081.05,29-Oct-20,59,INE353H01010,1584
SHAHALLOYS,EQ,7.15,7.15,6.5,7.1,7.1,6.75,1399,9338.6,29-Oct-20,10,INE640C01011,1585
SHAKTIPUMP,BE,218.45,221.75,214,218.5,219,218.7,34302,7445328.4,29-Oct-20,829,INE908D01010,1586
SHALBY,EQ,90,92.5,88.35,91.2,90.7,90.95,293455,26776970.05,29-Oct-20,3208,INE597J01018,1587
SHALPAINTS,EQ,71.95,73.85,70.75,71.8,71.45,73.05,189465,13680605.2,29-Oct-20,2017,INE849C01026,1588
SHANKARA,EQ,321.2,327.95,316.05,316.95,316.65,321.8,21046,6735662.15,29-Oct-20,1796,INE274V01019,1589
SHANTIGEAR,EQ,101.55,102.25,98.7,100.65,100,103.05,44311,4463491.65,29-Oct-20,1181,INE631A01022,1590
SHARDACROP,EQ,280,282,265.1,270.35,273,268.7,79628,21704380.15,29-Oct-20,3906,INE221J01015,1591
SHARDAMOTR,EQ,880.65,909.5,848.6,857.45,850,884.85,2505,2217027.8,29-Oct-20,558,INE597I01010,1592
SHAREINDIA,EQ,101.5,102.65,100.1,101.1,100.8,102.45,14587,1483758.5,29-Oct-20,53,INE932X01018,1593
SHARIABEES,EQ,309.01,309.01,307,307.86,307.86,308.97,1834,565038.58,29-Oct-20,30,INF732E01128,1594
SHEMAROO,EQ,55.85,55.85,53.75,54.75,54.4,55.85,18422,1005649.6,29-Oct-20,329,INE363M01019,1595
SHIL,EQ,77,77.7,75.6,76.25,76,77.6,324055,24778275.85,29-Oct-20,1786,INE05AN01011,1596
SHILPAMED,EQ,440,448,421.1,425.25,426.95,443.25,349814,151799854.4,29-Oct-20,10994,INE790G01031,1597
SHIRPUR-G,EQ,7.5,7.5,6.85,7.25,7.3,7.05,4357,31228.4,29-Oct-20,83,INE196B01016,1598
SHIVAMAUTO,EQ,17.4,17.4,16.35,16.8,16.65,17.1,38425,640605.35,29-Oct-20,191,INE637H01024,1599
SHIVAMILLS,EQ,22.2,23.2,22.2,22.9,22.9,22,226,5177.2,29-Oct-20,6,INE644Y01017,1600
SHIVATEX,EQ,79.5,80.85,79,80.85,80.85,79.55,447,35641.5,29-Oct-20,9,INE705C01020,1601
SHK,EQ,85,88,84.1,87.6,87.7,85,280262,24305133.95,29-Oct-20,2618,INE500L01026,1602
SHOPERSTOP,EQ,175,177.8,168,173.35,173.75,175.9,45836,7909103.45,29-Oct-20,1842,INE498B01024,1603
SHRADHA,EQ,45.05,45.05,45,45.05,45.05,42.95,3338,150351.9,29-Oct-20,14,INE715Y01015,1604
SHREDIGCEM,EQ,61.05,63,59.4,61.7,62.2,62.5,1969266,120248066.9,29-Oct-20,10519,INE232A01011,1605
SHREECEM,EQ,21299,21799.95,21105.05,21677,21599.75,21361.2,71428,1534805376,29-Oct-20,19011,INE070A01015,1606
SHREEPUSHK,EQ,107.5,107.5,106,107.1,107.25,107.5,10066,1078330.15,29-Oct-20,209,INE712K01011,1607
SHREERAMA,EQ,6.8,7,6.75,6.85,6.75,6.85,8415,57361.75,29-Oct-20,75,INE879A01019,1608
SHRENIK,EQ,6.25,6.25,6.25,6.25,6.25,6.55,62826,392662.5,29-Oct-20,335,INE632X01030,1609
SHREYANIND,EQ,73.5,74,72.1,73.05,73.5,73.95,7796,569902.15,29-Oct-20,204,INE231C01019,1610
SHREYAS,BE,48.6,53.25,48.25,52.65,53.25,50.75,6960,344270.55,29-Oct-20,78,INE757B01015,1611
SHRIPISTON,BE,552.4,580,549,580,580,552.4,1848,1066991.9,29-Oct-20,27,INE526E01018,1612
SHRIRAMCIT,EQ,790,805,782.1,790.3,790.1,808.5,16245,12854953,29-Oct-20,1312,INE722A01011,1613
SHRIRAMEPC,EQ,3.9,3.9,3.6,3.65,3.6,3.65,90416,330244.4,29-Oct-20,124,INE964H01014,1614
SHUBHLAXMI,SM,14.8,14.8,14.8,14.8,14.8,15.55,2000,29600,29-Oct-20,2,INE01Z401013,1615
SHYAMCENT,EQ,4,4,3.75,3.8,3.8,3.9,22816,86052.05,29-Oct-20,45,INE979R01011,1616
SICAGEN,EQ,11.15,11.5,11,11.45,11.5,11.25,7299,81948.6,29-Oct-20,40,INE176J01011,1617
SICAL,EQ,10.2,10.25,9.8,10,10.15,10.2,56275,566548,29-Oct-20,147,INE075B01012,1618
SIEMENS,EQ,1282,1294.4,1267.5,1289,1285.35,1285.85,418701,535958166.7,29-Oct-20,18207,INE003A01024,1619
SIGIND,EQ,18.8,19.75,18.55,18.95,18.95,18.95,2784,52919.7,29-Oct-20,24,INE529F01035,1620
SIGMA,ST,45,45,45,45,45,45.2,9000,405000,29-Oct-20,3,INE0A0S01010,1621
SIL,BE,9.15,9.65,9.15,9.2,9.15,9.6,8319,76474.75,29-Oct-20,11,INE173A01025,1622
SILINV,EQ,134.95,136.5,132.6,133.3,132.6,134.45,293,39181.7,29-Oct-20,56,INE923A01015,1623
SILLYMONKS,EQ,23,24,22.2,23.75,23.8,23,985,23222.5,29-Oct-20,18,INE203Y01012,1624
SILVERTUC,SM,89,94,89,94,94,97,11000,1029000,29-Oct-20,3,INE625X01018,1625
SIMBHALS,EQ,6.4,6.45,6.15,6.3,6.45,6.2,4598,29061.5,29-Oct-20,17,INE748T01016,1626
SIMPLEXINF,EQ,29,29.95,28.5,28.95,29.25,29.3,112290,3263560.8,29-Oct-20,467,INE059B01024,1627
SINTERCOM,EQ,81.55,81.55,78,78,78,78,21,1641.55,29-Oct-20,2,INE129Z01016,1628
SINTEX,BE,3.6,3.6,3.3,3.3,3.3,3.45,10152939,35207513.9,29-Oct-20,3876,INE429C01035,1629
SIRCA,EQ,251.05,256,249,254.95,255.95,255.35,4121,1045903.25,29-Oct-20,218,INE792Z01011,1630
SIS,EQ,356.65,356.7,350,354.8,355,356.55,14663,5193100.55,29-Oct-20,830,INE285J01028,1631
SITINET,EQ,0.65,0.7,0.65,0.65,0.65,0.7,7982124,5196766.35,29-Oct-20,609,INE965H01011,1632
SIYSIL,EQ,140,141.1,137,139.35,138.4,140,28625,3982241.35,29-Oct-20,795,INE076B01028,1633
SJVN,EQ,21.7,22.2,21.7,22,22.2,21.9,363334,7954653.85,29-Oct-20,1381,INE002L01015,1634
SKFINDIA,EQ,1520,1520,1496.3,1500.75,1500,1511.2,14881,22332959.75,29-Oct-20,5388,INE640A01023,1635
SKIL,EQ,2.5,2.55,2.35,2.45,2.4,2.5,145680,352933.6,29-Oct-20,108,INE429F01012,1636
SKIPPER,EQ,49.9,49.9,47.6,47.95,48,48.9,27184,1313544.2,29-Oct-20,359,INE439E01022,1637
SKMEGGPROD,EQ,40.25,41.05,40,40.1,40.1,40.6,12713,514501.15,29-Oct-20,140,INE411D01015,1638
SMARTLINK,EQ,73.15,73.2,69.3,69.75,69.65,71.05,6888,483814.45,29-Oct-20,304,INE178C01020,1639
SMLISUZU,EQ,373,376.05,372,374.2,376,375.7,5274,1974585.3,29-Oct-20,372,INE294B01019,1640
SMPL,BZ,0.2,0.2,0.2,0.2,0.2,0.25,10,2,29-Oct-20,1,INE215G01021,1641
SMSLIFE,EQ,592,607.85,583.75,595,598.5,602.25,4024,2402664.8,29-Oct-20,330,INE320X01016,1642
SMSPHARMA,EQ,83.05,84.3,81.9,83.4,83.85,85.55,81764,6809456.7,29-Oct-20,1371,INE812G01025,1643
SNOWMAN,EQ,37.3,38.4,36.45,36.7,36.65,38.2,584420,21726066.1,29-Oct-20,3292,INE734N01019,1644
SOBHA,EQ,277,279.1,272.05,275.25,275.5,283,180736,49798710.3,29-Oct-20,5646,INE671H01015,1645
SOFTTECH,SM,77,77,76.8,76.8,76.8,80.8,3200,246080,29-Oct-20,2,INE728Z01015,1646
SOLARA,EQ,1107,1174.3,1107,1116.2,1125,1116,128900,146826106.6,29-Oct-20,8622,INE624Z01016,1647
SOLARINDS,EQ,1019.95,1035,1005,1023.7,1020,1021.8,6104,6209573.8,29-Oct-20,820,INE343H01029,1648
SOLEX,SM,24.15,32.5,24.15,32.15,32.5,27.25,36000,917500,29-Oct-20,4,INE880Y01017,1649
SOMANYCERA,EQ,214.1,214.1,206,208.7,208.05,214.85,44908,9358544.85,29-Oct-20,1252,INE355A01028,1650
SOMATEX,BE,3.1,3.1,3.1,3.1,3.1,3.25,300,930,29-Oct-20,1,INE314C01013,1651
